Projeto;;Ano;;Tipo;;Autor;;Ementa;;Situação
52;   ;2021;;Projeto de Lei;;Zé Márcio, André Luiz, Vagner de Oliveira, Nilton Militão;;Dispõe sobre denominação de logradouro público. (Galeria José Carlos Passos – Zé Kodak);;Em Tramitação
;;;;;;;;;;
51;   ;2021;;Projeto de Lei;;Julinho Rossignoli;;Dispõe sobre a autorização do Programa Saúde Bucal das pessoas idosas no âmbito do município de Juiz de Fora.;;Em Tramitação
;;;;;;;;;;
50;   ;2021;;Projeto de Lei;;Julinho Rossignoli;;Institui a campanha de prevenção aos acidentes do trabalho e doenças ocupacionais, denominada de ABRIL VERDE no âmbito do Município de Juiz de Fora, e dá outras providências.;;Em Tramitação
;;;;;;;;;;
49;   ;2021;;Projeto de Lei;;Juraci Scheffer;;Dispõe sobre denominação de Logradouro Público (Rua Salvador Biancovilli Del Duca);;Transformado em Norma Jurídica
;;;;;;;;;;
48;   ;2021;;Projeto de Lei;;Dr. Antônio Aguiar;;Dispõe sobre realização de adoções das necessárias providências para priorização de vacinas contra a COVID-19 para os profissionais da imprensa.;;Em Tramitação
;;;;;;;;;;
47;   ;2021;;Projeto de Lei;;Vagner de Oliveira, André Luiz, Dr. Antônio Aguiar, Bejani Júnior, Julinho Rossignoli, Kátia Franco Protetora;;Dispõe sobre concessão de título honorífico (Romeu Zema Neto);;Arquivada
;;;;;;;;;;
46;   ;2021;;Projeto de Lei;;Marlon Siqueira;;Proíbe a designação para função de confiança ou a nomeação para cargo em comissão, incluídos os de natureza especial, de pessoa que tenha sido condenada em decisão com trânsito em julgado ou proferida por órgão jurisdicional colegiado, no caso de violência doméstica e familiar contra a mulher, no âmbito da administração direta, indireta ou fundacional do Município de Juiz de Fora, e dá outras providências.;;Em Tramitação
;;;;;;;;;;
45;   ;2021;;Projeto de Lei;;Marlon Siqueira;;Institui o cartão de identificação para gestante e lactante no âmbito do Município de Juiz de Fora.;;Em Tramitação
;;;;;;;;;;
44;   ;2021;;Projeto de Lei;;Marlon Siqueira;;Dispõe sobre a concessão de Título Honorífico (Paulo Sérgio Pena Félix);;Transformado em Norma Jurídica
;;;;;;;;;;
43;   ;2021;;Projeto de Lei;;Marlon Siqueira;;Dispõe sobre a concessão de Título Honorífico. (Ana das Graças Côrtes Rossignoli.);;Transformado em Norma Jurídica
;;;;;;;;;;
42;   ;2021;;Projeto de Lei;;Tallia Sobral;;Cria o Dossiê da Mulher Juizforana e dá outras providências.;;Em Tramitação
;;;;;;;;;;
41;   ;2021;;Projeto de Lei;;Bejani Júnior;;Dispõe sobre normas específicas para a responsabilização de proprietários ou possuidores de imóvel, organizadores e de frequentadores de festas em desconformidade com as regras estipuladas no PROGRAMA JUIZ DE FORA PELA VIDA e dá outras providências.;;Em Tramitação
;;;;;;;;;;
40;   ;2021;;Projeto de Lei;;Bejani Júnior;;Dispõe sobre a criação do programa de cadastro de profissionais com deficiência, no município de Juiz de Fora e dá outras providências.;;Em Tramitação
;;;;;;;;;;
39;   ;2021;;Projeto de Lei;;Julinho Rossignoli, André Luiz, Tiago Bonecão;;Define percentual mínimo de 5% de participação de pessoas idosas na Lei n° 8525/1994 (Murilo Mendes) e dá outras providências.;;Transformado em Norma Jurídica
;;;;;;;;;;
38;   ;2021;;Projeto de Lei;;João Wagner;;Institui o Dia Municipal do Automobilismo no âmbito do Município de Juiz de Fora e dá outras providências.;;Em Tramitação
;;;;;;;;;;
37;   ;2021;;Projeto de Lei;;André Luiz;;Declara de Utilidade Pública Municipal a entidade que menciona (ASSOCIAÇÃO DE VÔO LIVRE DE JUIZ DE FORA - AVLJF);;Transformado em Norma Jurídica
;;;;;;;;;;
36;   ;2021;;Projeto de Lei;;Laiz Perrut;;Autoriza o Poder Executivo do Município de Juiz de Fora a comprar vacinas e insumos com vistas a cumprir cronograma de vacinação do SUS e imunizar a população contra a Pandemia da COVID-19.;;Arquivada
;;;;;;;;;;
35;   ;2021;;Projeto de Lei;;Laiz Perrut;;Dispõe sobre a tramitação prioritária dos processos administrativos em que figurem como parte ou pessoa interessada a vítima de violência doméstica e familiar contra mulher.;;Transformado em Norma Jurídica
;;;;;;;;;;
