Projeto;;Ano;;Tipo;;Autor;;Ementa;;Situação
1;   ;2016;;Projeto de Lei Complementar;;Dr. Fiorilo;;Dispõe sobre autorização de sepultamento antes de decorrido o prazo de 24 (vinte e quatro) horas nos termos que menciona.;;Transformado em Norma Jurídica
;;;;;;;;;;
29;   ;2015;;Projeto de Lei Complementar;;Cido Reis;;Dispõe sobre a Transferência de Direito de Perpetuidade e/ou Titularidade no Cemitério Municipal.;;Arquivada
;;;;;;;;;;
28;   ;2015;;Projeto de Lei Complementar;;Dr. Antônio Aguiar;;Dispõe sobre execução do nivelamento de quaisquer tampões na execução de serviços de pavimentação, recapeamento, construção em vias públicas e passeio no Município de Juiz de Fora.;;Transformado em Norma Jurídica
;;;;;;;;;;
27;   ;2015;;Projeto de Lei Complementar;;Dr. Fiorilo;;Cria o Programa Popular de Engenharia Pública e Contenção de Encostas no âmbito do Município de Juiz de Fora e dá outras providências.;;Arquivada
;;;;;;;;;;
26;   ;2015;;Projeto de Lei Complementar;;Ana Rossignoli;;"""Dispõe sobre a alteração da lei 6910/86 de uso do solo"".";;Transformado em Norma Jurídica
;;;;;;;;;;
25;   ;2015;;Projeto de Lei Complementar;;Zé Márcio;;Cria normas para a retenção de água proveniente de chuva no Município de Juiz de Fora.;;Em Tramitação
;;;;;;;;;;
24;   ;2015;;Projeto de Lei Complementar;;Rodrigo Mattos;;Altera a Lei nº 6910, de 31 de maio de 1986, permitindo a atividade de Estacionamento Privativo Comercial nas zonas residenciais 1, 2 e 3 (ZR-1,Zr-2 e Zr-3).;;Arquivada
;;;;;;;;;;
23;   ;2015;;Projeto de Lei Complementar;;Cido Reis;;Altera os artigos 438, 439, 440 e 441 e cria o art.441-A da lei n° 11.197 , de 03 de agosto de 2006, o Código de Posturas do Município de Juiz de Fora.;;Arquivada
;;;;;;;;;;
22;   ;2015;;Projeto de Lei Complementar;;Chico Evangelista;;"""Altera a lei 6.910de 31/05/1986 e lei complementar n° 006 de 27/11/2013 quanto ao uso e ocupação do solo no Bairro Francisco Bernardino"".";;Arquivada
;;;;;;;;;;
21;   ;2015;;Projeto de Lei Complementar;;Zé Márcio;;"""Altera a lei 6.910 de 31 de maio de 1986 e a lei complementar n° 006 de 27 de novembro de 2013 quanto ao uso e ocupação do solo no Bairro Floresta"".";;Em Tramitação
;;;;;;;;;;
20;   ;2015;;Projeto de Lei Complementar;;Júlio Gasparette;;Altera o art. 2° da Lei Complementar n° 24, de 24 de junho de 2015.;;Transformado em Norma Jurídica
;;;;;;;;;;
19;   ;2015;;Projeto de Lei Complementar;;Jucelio;;Insere a atividade que menciona no Grupo L1 do Anexo 6 da Lei n.° 6.910 de 31 de maio de 1986.;;Arquivada
;;;;;;;;;;
18;   ;2015;;Projeto de Lei Complementar;;Zé Márcio;;"Acresce parágrafo único ao artigo 4°, da Lei n°13.129, de 19 de maio de 2015"".";;Transformado em Norma Jurídica
;;;;;;;;;;
17;   ;2015;;Projeto de Lei Complementar;;Zé Márcio;;"''Institui a obrigatoriedade de as edificações tornarem público o nome dos autores responsáveis pelo projeto de arquitetura"".";;Transformado em Norma Jurídica
;;;;;;;;;;
16;   ;2015;;Projeto de Lei Complementar;;Zé Márcio;;Classifica como Zona Residencial 3 (ZR3) o Loteamento Terras Altas.;;Em Tramitação
;;;;;;;;;;
15;   ;2015;;Projeto de Lei Complementar;;Zé Márcio;;Institui as Zonas Verdes no Município de Juiz de Fora;;Arquivada
;;;;;;;;;;
14;   ;2015;;Projeto de Lei Complementar;;Jucelio;;Institui a Política Municipal de Ocupação Cultural de Praças Públicas e dá outras providências;;Transformado em Norma Jurídica
;;;;;;;;;;
13;   ;2015;;Projeto de Lei Complementar;;Vagner de Oliveira, Zé Márcio;;"""Institui o Projeto Guardião das Águas e o Pagamento por Serviços Ambientais - PSA no âmbito do município de Juiz de Fora""";;Em Tramitação
;;;;;;;;;;
12;   ;2015;;Projeto de Lei Complementar;;Dr. Fiorilo;;"Altera a redação do parágrafo único do art. 1º da Lei nº 12.445, de 21 de dezembro de 2011, que acrescentou o inciso III ao parágrafo único do art. 62 da Lei n° 11.197, de 03 de agosto de 2006, que ""Institui o código de Posturas no Município de Juiz de Fora"" e dá outras providências.";;Transformado em Norma Jurídica
;;;;;;;;;;
