Projeto;;Ano;;Tipo;;Autor;;Ementa;;Situação
;;;;;;;;;;
89;   ;2021;;Moção;;Laiz Perrut;;Moção de Pesar pelo falecimento de Alfredo Salomão, irmão da Prefeita Margarida Salomão;;Aprovado
;;;;;;;;;;
88;   ;2021;;Moção;;Tiago Bonecão;;Moção de Pesar - Wilimar Alves Rocha;;Aprovado
;;;;;;;;;;
87;   ;2021;;Moção;;Bejani Júnior;;Moção de repúdio ao prefeito de Betim, Senhor Vittorio Medioli, em relação a sua fala na CPI dos Fura-Filas da Assembleia Legislativa de Minas Gerais (ALMG), declarando que Juiz de Fora está sendo beneficiada no recebimento de vacinas da Covid-19, principalmente por ser cidade de origem do ex-secretário de Saúde do Estado, Carlos Eduardo Amaral.;;Aprovado
;;;;;;;;;;
86;   ;2021;;Moção;;Juraci Scheffer;;Moção de Pesar pelo lamentável falecimento do Reverendíssimo Padre Antonio Pereira Gaio;;Aprovado
;;;;;;;;;;
85;   ;2021;;Moção;;Dr. Antônio Aguiar;;Moção de pesar pelo falecimento do Padre Antônio Pereira Gaio.;;Aprovado
;;;;;;;;;;
84;   ;2021;;Moção;;Dr. Antônio Aguiar;;Moção de pesar pelo faclecimento do Sr. Walter Moura Garcia, conhecido carinhosamente como Carioca.;;Aprovado
;;;;;;;;;;
83;   ;2021;;Moção;;Dr. Antônio Aguiar;;MOÇÃO DE APLAUSO à Academia Atividade Ltda;;Aprovado
;;;;;;;;;;
82;   ;2021;;Moção;;Dr. Antônio Aguiar;;Moção de Pesar pelo falecimento do médico, urologista dr. Euvaldo Bittar.;;Aprovado
;;;;;;;;;;
81;   ;2021;;Moção;;Dr. Antônio Aguiar;;MOÇÃO DE APLAUSO à ACQUA FORM ACADEMIA.;;Aprovado
;;;;;;;;;;
80;   ;2021;;Moção;;Sargento Mello Casal;;Moção de Aplausos ao policial militar e atleta de jiu-jitsu Cabo PM Ederson do Antônio do Nascimento Jr por levar o nome de Juiz de Fora ao podium nas principais competições de Jiu-jitsu realizadas em 2021;;Aprovado
;;;;;;;;;;
79;   ;2021;;Moção;;Sargento Mello Casal;;Moção de Pesar aos familiares do passaricultor FELIPE MANOEL ANGELINO;;Aprovado
;;;;;;;;;;
78;   ;2021;;Moção;;Marlon Siqueira;;Moção de Apoio ao Projeto de Lei n.º 2.564, de 2020, que Altera a Lei n.º 7.498, de 25 de junho de 1986, para instituir o piso salarial nacional do Enfermeiro, do Técnico de Enfermagem, do Auxiliar de Enfermagem e da Parteira, de autoria do Senador Fabiano Contarato (REDE/ES).;;Aprovado
;;;;;;;;;;
77;   ;2021;;Moção;;Marlon Siqueira;;Moção de Aplausos para a página Trumpet Lovers - e seu criador, Felipe Rodrigues - por ser a maior referência em conteúdos ligados ao trompete na internet, com centenas de milhares de espectadores pelo mundo.;;Aprovado
;;;;;;;;;;
76;   ;2021;;Moção;;Bejani Júnior;;Moção de Aplausos aos envolvidos no trabalho realizado pelo BANCO DE LEITE HUMANO DE JUIZ DE FORA em reconhecimento pelos serviços prestados a nossa cidade, que completa em 31 de maio deste ano 30 anos de sua fundação.;;Aprovado
;;;;;;;;;;
75;   ;2021;;Moção;;Bejani Júnior;;MOÇÃO DE PESAR pelo falecimento do Senhor José de Beça Moreira.;;Aprovado
;;;;;;;;;;
74;   ;2021;;Moção;;Bejani Júnior;;Moção de Aplausos ao cantor Léo de Freitas pelos anos de dedicação à cultura, em especial à música sertaneja no município de Juiz de Fora.;;Aprovado
;;;;;;;;;;
73;   ;2021;;Moção;;Tiago Bonecão;;Moção de Aplausos ao Projeto Ser Luz;;Aprovado
;;;;;;;;;;
72;   ;2021;;Moção;;Maurício Delgado;;Moção de Aplauso ao Grupo Espírita Semente, em comemoração aos 40 anos de trabalho dedicado à caridade e atendimento à todos que buscaram por ajuda aqui em Juiz de Fora, o aniversário foi no dia 9 de maio de 2021.;;Aprovado
;;;;;;;;;;
71;   ;2021;;Moção;;Sargento Mello Casal;;Moção de pesar aos familiares do nosso torcedor Ilustre do Botafoguinho F.C./Grajaú, Edson Bellizzi.;;Aprovado
;;;;;;;;;;
70;   ;2021;;Moção;;Marlon Siqueira;;Moção de Aplausos ao Material de Construção Diney na Rua João Rosa Araújo, nº 10, no Bairro Granjas Betânia.;;Aprovado
;;;;;;;;;;
69;   ;2021;;Moção;;Sargento Mello Casal;;Moção de Pesar aos familiares do ex-jogador de futebol do Botafoguinho VANDER LUIZ ALVES GIVISIEZ;;Aprovado
;;;;;;;;;;
68;   ;2021;;Moção;;Maurício Delgado, Cido Reis;;Moção de Pesar aos Familiares do Sr. Vander Luiz Alves Givisiez, cujo falecimento ocorreu no dia 25 de abril de 2021.;;Aprovado
;;;;;;;;;;
67;   ;2021;;Moção;;João Wagner;;Requer seja encaminhada Moção de Pesar pelo falecimento de João Batista Furtado Ladeira, natural de Juiz de Fora, advogado e fundador da Funerária Candelária.;;Aprovado
;;;;;;;;;;
66;   ;2021;;Moção;;João Wagner;;Requer seja encaminhada MOÇÃO DE PESAR pelo falecimento de Virgílio Pino Evaristo, ex-piloto, preparador automotivo e verdadeiro ícone do automotivo de Juiz de Fora.;;Aprovado
;;;;;;;;;;
65;   ;2021;;Moção;;João Wagner;;Requeremos à Mesa encaminhe Moção de Aplausos ao “Projeto Sol - Abraçando a Vida” , pela realização da campanha de arrecadação de alimentos para a Associação Beneficente Sopa dos Pobres.;;Aprovado
;;;;;;;;;;
64;   ;2021;;Moção;;Dr. Antônio Aguiar;;MOÇÃO DE PESAR pelo falecimento do Sr. PAULO CESAR DURÃES LUIZ.;;Aprovado
;;;;;;;;;;
63;   ;2021;;Moção;;Dr. Antônio Aguiar;;Moção de pesar pelo falecimento Sr. Antonio Carlos Estevão (Toninho);;Aprovado
;;;;;;;;;;
62;   ;2021;;Moção;;Bejani Júnior;;Moção de Aplausos a dupla Zezé di Camargo e Luciano pelos 30 anos de sucesso. Período no qual a dupla trouxe alegria e entretenimento, marcando a vida de milhares de pessoas em todo o Brasil e também no exterior.;;Aprovado
;;;;;;;;;;
61;   ;2021;;Moção;;Julinho Rossignoli;;Solicitamos MOÇÃO DE PESAR pelo falecimento da líder comunitária Sra. Margarida Teixeira da Silva.;;Aprovado
;;;;;;;;;;
60;   ;2021;;Moção;;Tallia Sobral;;Moção de pesar pelo falecimento do mestre de capoeira Divino Custódio dos Santos, mais conhecido como Mestre Santos.;;Aprovado
;;;;;;;;;;
59;   ;2021;;Moção;;Laiz Perrut;;Moção de Aplauso pro JF Vôlei - Campeão da Superliga B;;Aprovado
;;;;;;;;;;
58;   ;2021;;Moção;;Marlon Siqueira;;Moção de Aplausos ao Restaurante Mesa Mineira, localizado Rua Barão de São João Nepomuceno, nº 194, no Centro.;;Aprovado
;;;;;;;;;;
