Projeto;;Ano;;Tipo;;Autor;;Ementa;;Situação
4157;   ;2015;;Mensagem do Executivo (Projeto de Lei Complementar);;Executivo;;Projeto de Lei complementar que tem por escopo acrescentar dispositivo ao art. 197, da Lei n° 8.710, de 31 de julho de 1995 e dá outras providências.;;Transformado em Norma Jurídica
;;;;;;;;;;
4156;   ;2015;;Mensagem do Executivo (Projeto de Lei Complementar);;Executivo;;Insere o art. 65-B na Lei Municipal nº 6.909, de 31 de maio de 1986 e dá outras providências.;;Transformado em Norma Jurídica
;;;;;;;;;;
4151;   ;2015;;Mensagem do Executivo (Projeto de Lei Complementar);;Executivo;;"Altera a redação de dispositivos da Lei n° 5.546, de 26 de dezembro de 1978, que ""Institui o Código Tributário Municipal"", com suas alterações posteriores"".";;Transformado em Norma Jurídica
;;;;;;;;;;
4136;   ;2014;;Mensagem do Executivo (Projeto de Lei Complementar);;Executivo;;Altera a redação dos arts. 94, 97, 103 e 223, da Lei nº 8.710, de 31 de julho de 1995 e dá outras providências.;;Transformado em Norma Jurídica
;;;;;;;;;;
4127;   ;2014;;Mensagem do Executivo (Projeto de Lei Complementar);;Executivo;;Dispõe sobre a Operação Urbana Consorciada Dom Silvério e dá outras providências.;;Arquivada
;;;;;;;;;;
4125;   ;2014;;Mensagem do Executivo (Projeto de Lei Complementar);;Executivo;;Acrescenta o inciso XIX e os §§ 4º, 5º e 6º ao art. 61, da Lei nº 8.710, de 31 de julho de 1995 e dá outras providências.;;Transformado em Norma Jurídica
;;;;;;;;;;
4124;   ;2014;;Mensagem do Executivo (Projeto de Lei Complementar);;Executivo;;Altera dispositivos da Lei Municipal nº 8.710, de 31 de julho de 1995, da Lei Municipal nº 12.103, de 30 de julho de 2010 e dá outras providências.;;Transformado em Norma Jurídica
;;;;;;;;;;
4096;   ;2014;;Mensagem do Executivo (Projeto de Lei Complementar);;Executivo;;"Altera a redação do art. 61, da Lei nº 8.710, de 31 de julho de 1995 (""Dispõe sobre o Estatuto dos servidores públicos da administração direta do Município de Juiz de Fora, de suas autarquias e fundações públicas""), com suas alterações posteriores.";;Transformado em Norma Jurídica
;;;;;;;;;;
4076;   ;2013;;Mensagem do Executivo (Projeto de Lei Complementar);;Executivo;;Altera o art. 161, da Lei Municipal nº 8.710, de 31 de julho de 1995.;;Arquivada
;;;;;;;;;;
4062;   ;2013;;Mensagem do Executivo (Projeto de Lei Complementar);;Executivo;;"Altera o zoneamento da Rua ""A"" do "" Loteamento Alphaville Juiz de Fora "" estabelecido em conformidade com a Lei nº 6.910, de 31 de maio de 1986.";;Arquivada
;;;;;;;;;;
