"","Projeto","...2","Ano","...4","Tipo","...6","Autor","...8","Ementa","...10","Situação"
"607",76,"   ",2019,NA,"Projeto de Lei",NA,"Sargento Mello Casal",NA,"Dispõe sobre a concessão de Título Honorífico ao Bar Dias.",NA,"Transformado em Norma Jurídica"
"608",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"609",75,"   ",2019,NA,"Projeto de Lei",NA,"Cido Reis",NA,"Estabelece diretrizes para realização de inspeção dos veículos que operam nos serviços regulares de transporte público.",NA,"Em Tramitação"
"610",74,"   ",2019,NA,"Projeto de Lei",NA,"Cido Reis",NA,"Dispõe sobre denominação de Logradouro Público (Travessa Ivonete Gomes Francisco).",NA,"Transformado em Norma Jurídica"
"611",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"612",73,"   ",2019,NA,"Projeto de Lei",NA,"André Mariano",NA,"Institui fracionamento de cobrança de tempo, na área azul, no Município de Juiz de Fora.",NA,"Arquivada"
"613",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"614",72,"   ",2019,NA,"Projeto de Lei",NA,"Kennedy Ribeiro",NA,"Declara de Utilidade Pública, para fins de tombamento como patrimônio cultural da cidade, a Feira Livre do Bairro Benfica.",NA,"Arquivada"
"615",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"616",71,"   ",2019,NA,"Projeto de Lei",NA,"Dr. Fiorilo",NA,"Institui o Dia Municipal de Conscientização e Prevenção ao Suicídio e de Valorização da Vida e a Semana de Valorização da Vida no âmbito do Município de Juiz de Fora, e dá outras providências.",NA,"Arquivada"
"617",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"618",70,"   ",2019,NA,"Projeto de Lei",NA,"Pardal",NA,"Dispõe sobre concessão de Título de Cidadão Benemérito (Lucas Ruback Schmidt).",NA,"Transformado em Norma Jurídica"
"619",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"620",69,"   ",2019,NA,"Projeto de Lei",NA,"Pardal",NA,"Dispõe sobre concessão de Título de Cidadão Benemérito. (Marcos Ruback Schmidt)",NA,"Transformado em Norma Jurídica"
"621",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"622",68,"   ",2019,NA,"Projeto de Lei",NA,"Dr. Antônio Aguiar",NA,"Dispõe sobre concessão de Título Benemérito (Roberto Nogueira Ferreira).",NA,"Transformado em Norma Jurídica"
"623",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"624",67,"   ",2019,NA,"Projeto de Lei",NA,"Kennedy Ribeiro",NA,"Institui no Município de Juiz de Fora o Dia Municipal do Diretor e Vice-Diretor Escolar.",NA,"Transformado em Norma Jurídica"
"625",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"626",66,"   ",2019,NA,"Projeto de Lei",NA,"Juraci Scheffer",NA,"Fica a CESAMA obrigada, por solicitação do consumidor, a instalar nos hidrômetros dos imóveis do Município de Juiz de Fora um Eliminador de Ar para líquidos.",NA,"Transformado em Norma Jurídica"
"627",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
